"id","semester_nr","statistic_course","ba_program","other_ba","specialization","statistics_1","statistics_2","statistics_3","statistics_4"
268,4,1,"Management and Technology (TUM)",NA,"Chemistry",3,2,2,3
269,4,0,"other","Information Systems","Computer Engineering",2,1,2,1
270,4,1,"Management and Technology (TUM)",NA,"Medicine",4,3,3,1
271,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",1,1,1,1
272,6,0,"Management and Technology (TUM)",NA,"Mechanical Engineering",1,1,1,1
273,2,0,"Management and Technology (TUM)",NA,"Innovation and Entrepreneurship",3,1,2,1
274,6,1,"Management and Technology (TUM)",NA,"Informatics",4,2,1,2
275,4,1,"Management and Technology (TUM)",NA,"Finance and Accounting",3,3,3,2
276,4,1,"Management and Technology (TUM)",NA,"Finance and Accounting",3,2,1,2
277,4,0,"other","information systems (wirtschaftinformatik)","none",3,1,1,1
278,4,0,"other","information systems","other",3,2,2,2
279,4,1,"Management and Technology (TUM)",NA,"Informatics",5,3,3,4
280,4,1,"Management and Technology (TUM)",NA,"Medicine",2,2,2,1
281,2,1,"Management and Technology (TUM)",NA,"Computer Engineering",5,5,1,2
282,2,0,"other","M.Sc. Politics and Technology","Economics and Policy",4,4,5,5
283,6,1,"Management and Technology (TUM)",NA,"Informatics",5,4,3,2
284,4,1,"Management and Technology (TUM)",NA,"Informatics",4,2,1,3
285,4,1,"Management and Technology (TUM)",NA,"Electrical and Information Technology",4,1,1,2
286,4,1,"Management and Technology (TUM)",NA,"Marketing, Strategy and Leadership",5,3,2,3
287,2,0,"other",NA,"other",1,1,1,2
288,4,1,"Management and Technology (TUM)",NA,"Medicine",3,1,1,1
289,6,0,"Management and Technology (TUM)",NA,"Finance and Accounting",4,3,3,1
290,6,1,"Management and Technology (TUM)",NA,"Informatics",4,3,2,1
291,4,0,"other","Information Systems","none",2,1,2,1
292,4,1,"Management and Technology (TUM)",NA,"Electrical and Information Technology",3,2,1,1
293,8,1,"Business Education (Wirtschaftspädagogik) (TUM)",NA,"Finance and Accounting",4,2,1,2
294,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",4,3,1,1
295,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",3,2,2,1
296,4,0,"other","Information Systems (Wirtschaftsinformatik)","none",1,1,1,1
297,6,0,"other","information systems","Informatics",1,1,1,1
298,6,1,"Management and Technology (TUM)",NA,"Computer Engineering",3,3,4,2
299,2,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",5,3,2,1
300,4,0,"other","Wirtschaftsinformatik","none",1,1,1,1
301,6,0,"Management and Technology (TUM)",NA,"Finance and Accounting",3,3,1,1
302,2,0,"other","Poltics and Technology","other",3,3,5,5
303,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",2,1,1,1
304,4,0,"other","Wirtschaftsinformatik","Finance and Accounting",1,1,1,1
305,4,0,"other","Wirtschaftsinformatik","none",1,1,1,1
306,6,1,"Management and Technology (TUM)",NA,"Chemistry",3,2,2,2
307,4,1,"Management and Technology (TUM)",NA,"Informatics",4,3,2,2
308,4,1,"Management and Technology (TUM)",NA,"Informatics",5,3,3,3
309,4,1,"Management and Technology (TUM)",NA,"Medicine",3,2,1,5
310,4,1,"other","Wirtschaftsinformatik","none",3,2,2,1
311,4,0,"other","Information Systems","other",2,1,1,1
312,4,1,"Management and Technology (TUM)",NA,"Electrical and Information Technology",5,4,4,5
313,2,0,"other","Management Information Systems (Wirtschaftsinformatik)","none",3,1,1,1
314,4,1,"Management and Technology (TUM)",NA,"Informatics",3,2,1,2
315,4,1,"Management and Technology (TUM)",NA,"Informatics",3,1,1,2
316,4,1,"Management and Technology (TUM)",NA,"Electrical and Information Technology",4,3,3,4
317,4,0,"other","Information Systems (Wirtschaftsinformatik TUM)","none",1,1,1,1
318,3,0,"other","Information Systems (Wirtschaftsinformatik)","none",4,3,2,3
319,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",1,1,1,1
320,4,1,"Management and Technology (TUM)",NA,"Chemistry",2,1,2,1
321,6,0,"Management and Technology (TUM)",NA,"Computer Engineering",3,2,1,2
322,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",3,1,1,2
323,4,0,"other","Information Systems (TUM)","none",1,1,1,1
324,2,1,"other","Wirtschaftsinformatik","Informatics",2,1,1,1
325,4,1,"other","Information Systems","other",5,5,5,2
326,4,0,"Management and Technology (TUM)",NA,"Medicine",2,1,1,2
327,4,0,"other","Business Informatics","none",1,1,1,1
328,4,1,"Management and Technology (TUM)",NA,"Informatics",3,3,3,2
329,4,0,"Management and Technology (TUM)",NA,"Chemistry",1,1,1,1
330,4,0,"other","Wirtschaftsinformatik","Informatics",2,1,1,1
331,4,1,"Management and Technology (TUM)",NA,"Informatics",4,3,2,2
332,6,1,"Management and Technology (TUM)",NA,"none",4,3,3,1
333,4,0,"other","Information systems (TUM)","none",2,2,2,3
334,5,0,"other","MMT","Finance and Accounting",5,4,4,4
335,6,1,"other","Wirtschaftsinformatik","Informatics",1,1,1,1
336,4,1,"Management and Technology (TUM)",NA,"Electrical and Information Technology",2,1,1,1
337,3,0,"other","Wirtschaftsinformatik","none",1,3,1,1
338,4,0,"other","Information Systems","Informatics",3,2,1,1
339,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",4,3,2,2
340,6,0,"Management and Technology (TUM)",NA,"Computer Engineering",1,1,1,1
341,4,0,"Management and Technology (TUM)",NA,"Informatics",1,1,1,1
342,4,1,"Management and Technology (TUM)",NA,"Electrical and Information Technology",3,1,1,3
343,4,1,"Management and Technology (TUM)",NA,"Informatics",4,3,1,1
344,4,1,"Management and Technology (TUM)",NA,"Informatics",4,3,2,3
345,4,0,"Management and Technology (TUM)","Wirtschaftsinformatik","Informatics",1,1,1,1
346,4,1,"Management and Technology (TUM)",NA,"Informatics",4,3,2,1
347,4,0,"other","Politics and technology (M.Sc.)","Economics and Policy",1,1,1,1
348,4,1,"Management and Technology (TUM)",NA,"Informatics",4,3,3,3
349,4,1,"other","Business informatics","none",3,3,3,3
350,4,1,"Management and Technology (TUM)",NA,"Medicine",1,1,1,1
351,6,0,"Management and Technology (TUM)",NA,"Informatics",3,1,2,4
352,4,0,"other","Information Systems","none",2,2,1,1
353,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",5,5,2,3
354,4,1,"Management and Technology (TUM)",NA,"Informatics",2,2,2,2
355,4,1,"Management and Technology (TUM)",NA,"Informatics",5,5,2,3
356,6,0,"other","Information systems","Informatics",3,3,3,1
357,6,1,"Management and Technology (TUM)",NA,"Computer Engineering",4,3,3,2
358,2,0,"Management and Technology (TUM)",NA,"Medicine",4,1,1,1
