id,semester_nr,statistic_course,ba_program,other_ba,specialization,statistics_1,statistics_2,statistics_3,statistics_4
42,6,1,other,Information Systems,other,4,1,1,2
43,6,1,other,Information Systems,none,4,3,3,3
44,6,1,Management and Technology (TUM),,Medicine,3,2,1,1
45,4,1,Management and Technology (TUM),,Informatics,3,2,3,3
46,4,1,Management and Technology (TUM),,Computer Engineering,4,2,2,2
47,4,1,Management and Technology (TUM),,Informatics,4,3,2,4
48,4,1,Management and Technology (TUM),,Medicine,4,3,2,2
49,4,0,other,Wirtschaftsinformatik,other,1,1,1,1
50,4,1,Management and Technology (TUM),,Chemistry,2,1,1,1
51,6,0,other,Wirtschaftsinformatik,none,1,1,1,1
52,4,1,Management and Technology (TUM),,Medicine,5,5,4,4
53,4,0,Management and Technology (TUM),,Chemistry,4,3,1,3
54,6,1,Management and Technology (TUM),,Computer Engineering,3,2,1,2
55,4,0,other,Information systems (Wirtschaftsinformatik),other,1,1,1,1
56,2,0,other,Master Wirtschaftspädagogik II,Informatics,3,3,2,1
57,4,1,Management and Technology (TUM),,Mechanical Engineering,3,1,1,1
58,4,1,Management and Technology (TUM),,Computer Engineering,5,3,2,3
59,4,1,Management and Technology (TUM),,Mechanical Engineering,2,1,1,1
60,6,1,Management and Technology (TUM),,Computer Engineering,2,1,2,2
61,4,1,Management and Technology (TUM),,Computer Engineering,3,2,1,1
62,4,0,other,Wirtschaftsinformatik,none,2,1,1,1
63,4,0,Management and Technology (TUM),,Informatics,4,3,3,2
64,4,0,other,Information Systems,Informatics,1,1,1,1
65,4,0,other,Information Systems,none,1,1,1,1
66,4,1,Management and Technology (TUM),,Computer Engineering,2,2,4,3
